state_fips_code,res_state,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
1.0,AL,135,72,2690,6208,11425,21949,49698,37541,28011,37955,59133,104962,97296,32774,16686,13031,15576,5707,37969,121088,89538,31452,15277,63171,320389,53080,13512,6002,15567,43700,70693,64099,27775,13264,14345,33227,33901,22837,6735
2.0,AK,0,0,238,136,145,614,2289,2105,3050,9227,18084,11199,6202,3417,4533,4650,1787,919,4898,15457,24365,22421,11228,8234,60954,17702,6763,5810,7745,9731,10134,7418,2817,1879,1773,1593,2872,2434,1402
4.0,AZ,65,57,2691,7390,16188,71654,86688,22756,16778,33343,104507,216431,198245,44799,22922,21915,17396,13916,38754,90182,76514,74707,109928,133183,515434,74076,17004,13894,43768,73161,79286,46757,19461,21035,50410,44578,16245,15736,12307
5.0,AR,17,18,1156,2748,5354,16461,21313,18647,21807,28966,53014,72736,64906,19110,6563,5476,5684,9743,41641,68425,37396,15702,17480,46411,219507,25743,4062,2856,8058,23264,38183,29183,17309,7120,8755,16672,11295,6272,2928
6.0,CA,368,485,19396,46572,71217,174367,282930,151847,101279,124858,417622,1223516,877422,182456,83484,66112,38346,35811,203875,414900,252004,179244,165000,779594,2809944,353617,86073,142154,415894,534271,593265,344911,145993,101431,207097,278608,124282,98839,53851
8.0,CO,84,95,6814,12300,9298,7107,14673,9787,14350,43357,131410,96371,58337,31423,34116,48789,28690,13234,19179,42639,55757,74788,86636,107756,330346,54172,29102,36944,66924,85203,57902,33855,20790,20018,33239,24268,11934,5707,3421
9.0,CT,17,37,3822,9364,3658,29979,4025,3515,4589,16470,41377,61328,37785,1158,8921,402,103649,5993,11631,16537,19760,159,9919,157,782,27930,33982,61,150312,5152,92,57723,12264,6692,329,122,17440,76,16696
10.0,DE,0,0,300,4242,4380,1928,3132,2395,2917,4266,10844,21367,20115,8426,8050,9261,4015,853,1720,8538,13309,10484,9213,29746,63788,7992,2854,4587,13761,8517,9398,7867,5710,4334,3285,5154,4346,3385,1105
11.0,DC,0,36,1233,3298,2171,576,4360,711,632,793,1861,2721,17932,3534,3549,4787,975,565,1122,4911,5725,2941,2580,6260,55744,4871,1870,2459,0,11,14,0,0,0,0,0,0,0,0
12.0,FL,267,327,16363,21127,22279,82201,136624,150289,112374,130834,88663,147641,449550,272793,207918,169117,83133,57851,288860,621532,197626,51462,35252,327382,544166,295720,108179,57835,156746,191232,179952,113389,41225,22750,28585,50122,107149,55012,28632
13.0,GA,664,170,6811,16793,17110,33005,78408,63249,38729,43006,74109,162800,199468,83636,41763,35140,29848,7013,38140,188521,150331,49106,24622,155364,467909,81243,26697,16795,42926,64974,105036,95311,27679,15980,18349,45731,39127,28271,8607
15.0,HI,0,20,227,394,118,289,992,4199,7984,1925,4130,1274,4159,600,737,843,627,426,5641,9388,3515,3003,1275,5653,17038,19036,29358,9454,10409,14103,8459,4803,2852,36908,94499,2619,1382,1316,1059
16.0,ID,0,0,1335,843,966,5609,15562,9811,11258,24745,43818,32501,18632,7872,9281,6576,4487,2611,7227,25750,42353,25995,12994,14742,101790,16431,1837,1756,5966,11921,15428,9542,5990,4696,5994,5677,3322,4332,2850
17.0,IL,29,69,17747,62715,50655,22694,42879,60294,62723,201027,306456,199742,127360,50185,70138,81153,31907,9554,46695,116070,93077,71951,154884,675755,458636,45032,32147,105846,163853,120606,139300,103301,54936,61700,75964,81569,47260,41846,24886
18.0,IN,25,58,5910,15636,14183,11940,22627,27090,26699,66539,173216,167457,101871,32057,26540,33313,21245,7434,20191,97952,100673,55749,88249,171693,355734,40786,7537,11647,34488,40086,59167,64518,23593,19330,27478,37549,19863,18082,10659
19.0,IA,106,29,2395,15314,25182,30180,34656,34286,36132,45161,75386,33661,23002,11339,10164,8651,4158,1836,7174,26390,42294,29330,6558,24,97,23,20,16,11,17,35,21,24,0,0,14,13,16,0
20.0,KS,0,0,1052,4564,4957,6534,13418,16120,17914,30993,79903,65956,46366,14332,7078,6817,4094,4009,18247,40543,36454,25440,35920,64307,204309,23419,3224,6300,13052,20326,31263,26042,13538,8996,13243,16258,9227,7791,4681
21.0,KY,110,43,1699,3999,4356,5737,14500,15727,16266,31505,63137,66140,86051,33933,18465,16398,10417,6326,26849,112576,109225,42679,46241,93013,319125,88003,16969,10551,33368,46441,69094,77340,34147,20210,22945,30341,26847,19565,5404
22.0,LA,50,14,14166,16461,10644,29067,57525,28046,19198,21504,54972,82428,79067,23942,14275,13286,12792,10875,77869,144270,45244,16330,12137,114608,300300,37222,4767,5212,25677,51932,78020,54946,23078,9407,13399,26750,31414,20618,8797
23.0,ME,20,23,677,663,1120,871,583,655,863,1681,7753,12271,13084,4759,6923,10828,5222,1090,1786,7968,13983,13427,23006,28476,59101,13929,6042,11117,16625,6404,6151,6801,7166,7458,3880,5045,5009,5037,2288
24.0,MD,23,22,3165,18003,25068,16158,24670,16672,17427,24426,57545,71423,73028,41623,46573,40660,17631,7245,10993,30564,45471,33363,38143,41991,55940,16669,8978,55264,381326,84280,56440,67114,29411,9278,11341,18415,15327,5076,56840
25.0,MA,87,263,14475,56199,31007,8098,9181,10415,13120,28435,78359,151055,137614,54126,58052,49616,14856,3136,13071,42366,51018,40909,77327,250666,441834,50131,28536,65539,112350,51640,47974,41770,41034,34889,26912,46965,35955,18710,8583
26.0,MI,133,145,13639,16575,9544,6785,14006,14487,18863,43914,100368,94539,83902,35713,89338,132443,54244,30451,34272,46313,68143,93698,121998,143971,228627,223791,132806,100344,87310,55868,62920,74322,98732,69722,296571,53490,33901,46082,21949
27.0,MN,0,16,1248,8299,18224,11715,20193,20891,26289,62163,183249,78915,38383,22114,41085,54864,19729,4002,11117,41811,69051,78326,123430,134417,304346,46268,12965,28016,57593,42935,41613,42050,26600,23194,23434,24078,18238,17679,9000
28.0,MS,0,17,1693,5722,8207,11967,16212,4193,2580,454,582,661,451,166,100,157,88,27,212,874,654,136,134,1280,2898,292,42,61,258,511,558,499,183,120,169,396,245,149,75
